0,Code,Borough,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013
1,E09000002,Barking and Dagenham,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,0,2,1,0,0,3,0,0,1,0,1,0,0,0,0
2,E09000003,Barnet,0,0,0,2,0,2,0,1,1,0,2,0,0,1,2,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,2,0,1,0,0,2
3,E09000004,Bexley,1,1,0,0,1,0,0,2,1,1,0,0,0,3,0,2,0,2,0,0,0,3,4,2,0,0,3,0,0,3,1,0,0,0,3,0,2,0,0,0,0,0,0,3,2,0,1,0
4,E09000005,Brent,0,0,0,0,2,1,2,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2
5,E09000006,Bromley,0,2,0,0,0,0,2,0,0,0,0,0,5,0,1,2,2,0,1,0,0,0,1,1,2,1,1,1,1,1,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
6,E09000007,Camden,4,1,0,0,0,0,1,0,3,5,1,2,1,1,0,2,2,0,2,0,2,0,1,0,0,4,3,1,0,4,1,0,2,2,1,6,2,2,2,2,1,1,4,3,4,1,0,0
7,E09000001,City of London,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0
8,E09000008,Croydon,0,1,0,1,0,3,0,1,3,0,2,2,3,0,2,0,0,0,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,2,0,1,4,0,0,0,2,0,0,0,1,1,2
9,E09000009,Ealing,0,0,0,2,0,0,0,0,0,0,0,3,3,3,0,3,0,2,0,0,0,2,1,0,1,1,0,0,0,2,3,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1
10,E09000010,Enfield,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,2,0,0,0,2,0,1,1,0,0
11,E09000011,Greenwich,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,1,2,1,2,0,1,1,1,2,1,1,3,0,0,0,0,0,2,1,0,4,0,3,0,2,0,0,2,0,0,1,1
12,E09000012,Hackney,2,1,3,1,1,2,2,1,0,2,0,0,2,0,2,0,0,2,0,0,1,0,0,1,0,0,0,2,0,3,3,0,0,0,1,3,0,1,2,2,0,1,0,1,1,2,0,1
13,E09000013,Hammersmith and Fulham,2,0,0,2,0,0,2,1,1,1,2,0,2,2,0,2,0,1,0,0,0,0,2,0,1,0,2,1,0,0,2,0,0,1,0,0,1,2,0,1,3,0,2,0,1,0,1,2
14,E09000014,Haringey,0,1,0,0,0,0,0,1,0,2,3,0,0,0,0,4,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,1,4,1,1,0,0,1,0,1,0,1,1,1
15,E09000015,Harrow,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
16,E09000016,Havering,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,2,0,2,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
17,E09000017,Hillingdon,3,1,4,0,3,0,0,3,0,1,2,1,4,1,0,1,3,2,3,0,1,1,2,1,0,0,4,6,1,1,1,3,6,0,0,0,0,1,0,0,2,0,2,0,0,1,3,2
18,E09000018,Hounslow,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,0,1,0,1,0,0
19,E09000019,Islington,0,0,3,0,2,2,0,1,1,0,0,0,2,0,1,1,1,1,0,3,1,0,0,0,2,0,0,2,2,1,1,0,1,0,3,1,2,1,2,5,0,0,1,1,2,0,7,0
20,E09000020,Kensington and Chelsea,0,0,0,0,1,0,0,1,3,2,0,1,0,2,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0
21,E09000021,Kingston upon Thames,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0
22,E09000022,Lambeth,0,2,0,2,0,0,2,4,2,2,3,1,0,0,0,0,2,1,2,0,2,3,1,6,0,1,1,0,0,0,0,1,0,3,2,0,0,0,1,0,1,2,2,4,0,0,3,3
23,E09000023,Lewisham,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,1,1,0,0,0,1,0,2,0,1,2,0,0,1,0,1,3,0,4,0,1,0,0,0,2
24,E09000024,Merton,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,2,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
25,E09000025,Newham,0,1,0,1,1,0,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0,0,1,1,0,1,1,1,1,2,0,1,1,0,1,1,0,0
26,E09000026,Redbridge,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0
27,E09000027,Richmond upon Thames,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28,E09000028,Southwark,2,3,0,1,2,0,2,2,1,0,1,0,1,2,1,1,0,1,1,2,0,1,2,0,5,0,3,0,3,1,1,1,2,1,2,2,1,1,1,2,0,3,0,3,2,1,1,1
29,E09000029,Sutton,0,0,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
30,E09000030,Tower Hamlets,0,1,0,0,0,1,0,2,1,0,0,2,0,1,0,0,1,0,0,0,3,0,1,0,2,0,0,1,1,2,1,3,2,1,0,0,0,0,0,0,4,3,2,1,2,0,5,1
31,E09000031,Waltham Forest,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,2,1,0,0,0,1,0,2,0,1,1,0,2,0,0
32,E09000032,Wandsworth,2,0,0,3,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,2,3,1,0,0,0,0,1,2,0,0,0,1,1,1,1,1,0,2,1,0,0,1,4,0,3
33,E09000033,Westminster,1,0,1,0,1,3,2,0,0,0,1,2,1,1,2,1,0,1,0,1,1,1,8,1,6,0,1,1,2,3,0,0,0,3,0,1,2,3,0,1,3,2,3,0,2,1,5,1
34,Total,21,16,15,22,16,22,19,22,25,23,29,22,28,26,16,30,23,20,15,15,19,23,42,26,30,12,27,24,20,31,29,16,25,20,30,20,24,25,30,31,23,25,25,26,27,20,34,25
35
